username,period,source_year,source_url
!!!partition51,2000-2004,2002,http://slashdot.org:80/~!!!partition51/
!Dozer,2000-2004,2001,http://slashdot.org:80/~!Dozer/
!ErrorBookmarkNotDef,2000-2004,2001,http://slashdot.org:80/~!ErrorBookmarkNotDef/
!IH,2000-2004,2001,http://slashdot.org:80/~!IH/
!ramirez,2000-2004,2001,http://slashdot.org:80/~!ramirez/
!recycle,2000-2004,2001,http://slashdot.org:80/~!recycle/
!Xabbu,2000-2004,2001,http://slashdot.org:80/~!Xabbu/
#define,2000-2004,2001,http://slashdot.org:80/~%23define/
#include,2000-2004,2001,http://slashdot.org:80/~%23include/
+Addict-09+,2000-2004,2001,http://slashdot.org:80/~+Addict-09+/
+Majere+,2000-2004,2001,http://slashdot.org:80/~+Majere+/
-+BlueSky+-,2000-2004,2001,http://slashdot.org:80/~-+BlueSky+-/
--daz--,2000-2004,2001,http://slashdot.org:80/~--daz--/
-alex-,2000-2004,2001,http://slashdot.org:80/~-alex-/
-audiowhore-,2000-2004,2003,http://slashdot.org:80/%7E-audiowhore-/
-Bacon-,2000-2004,2001,http://slashdot.org:80/~-Bacon-/
-brazil-,2000-2004,2001,http://slashdot.org:80/~-brazil-/
-cman-,2000-2004,2001,http://slashdot.org:80/~-cman-/
-douggy,2000-2004,2001,http://slashdot.org:80/~-douggy/
-eddy,2000-2004,2001,http://slashdot.org:80/~-eddy/
-Harlequin-,2000-2004,2001,http://slashdot.org:80/~-Harlequin-/
-jaded-,2000-2004,2001,http://slashdot.org:80/~-jaded-/
-kevin-,2000-2004,2001,http://slashdot.org:80/~-kevin-/
-martee,2000-2004,2001,http://slashdot.org:80/~-martee/
-Nails-,2000-2004,2001,http://slashdot.org:80/~-Nails-/
-Neko-,2000-2004,2001,http://slashdot.org:80/~-Neko-/
-ParadoX-,2000-2004,2001,http://slashdot.org:80/~-ParadoX-/
-razor-,2000-2004,2001,http://slashdot.org:80/~-razor-/
-ryan,2000-2004,2001,http://slashdot.org:80/~-ryan/
-Surak-,2000-2004,2001,http://slashdot.org:80/~-Surak-/
-tji,2000-2004,2001,http://slashdot.org:80/~-tji/
-Version8-,2000-2004,2001,http://slashdot.org:80/~-Version8-/
.Bruce+Perens,2000-2004,2001,http://slashdot.org:80/~.Bruce+Perens/
.gpb,2000-2004,2001,http://slashdot.org:80/~.gpb/
.oO-DexteR-Oo.,2000-2004,2001,http://slashdot.org:80/~.oO-DexteR-Oo./
.sig,2000-2004,2001,http://slashdot.org:80/~.sig/
.Tacitus.,2000-2004,2001,http://slashdot.org:80/~.Tacitus./
00RUSS,2000-2004,2002,http://slashdot.org:80/~00RUSS/
0_KrUsH,2000-2004,2004,http://slashdot.org:80/%7E0_KrUsH/
0dna0,2000-2004,2001,http://slashdot.org:80/~0dna0/
0sb0rne,2000-2004,2001,http://slashdot.org:80/~0sb0rne/
0x0000,2000-2004,2001,http://slashdot.org:80/~0x0000/
0x25,2000-2004,2001,http://slashdot.org:80/~0x25/
0x666f6f0a,2000-2004,2001,http://slashdot.org:80/~0x666f6f0a/
0x7F,2000-2004,2001,http://slashdot.org:80/~0x7F/
0xA,2000-2004,2001,http://slashdot.org:80/~0xA/
0xCEFB0C4E,2000-2004,2001,http://slashdot.org:80/~0xCEFB0C4E/
10+Hacker,2000-2004,2001,http://slashdot.org:80/~10+Hacker/
10.0.0.1,2000-2004,2001,http://slashdot.org:80/~10.0.0.1/
1000baseFX,2000-2004,2001,http://slashdot.org:80/~1000baseFX/
109+97+116+116,2000-2004,2001,http://slashdot.org:80/~109+97+116+116/
10am-bedtime,2000-2004,2001,http://slashdot.org:80/~10am-bedtime/
10e+999,2000-2004,2001,http://slashdot.org:80/~10e+999/pubkey/
10Ghz,2000-2004,2001,http://slashdot.org:80/~10Ghz/
10sball,2000-2004,2001,http://slashdot.org:80/~10sball/
10sun,2000-2004,2001,http://slashdot.org:80/~10sun/
11+platter+hard+driv,2000-2004,2001,http://slashdot.org:80/~11+platter+hard+driv/
1101z,2000-2004,2001,http://slashdot.org:80/~1101z/
11thangel,2000-2004,2001,http://slashdot.org:80/~11thangel/
12dec0de,2000-2004,2001,http://slashdot.org:80/~12dec0de/
13013dobbs,2000-2004,2001,http://slashdot.org:80/~13013dobbs/journal/
1337d00d,2000-2004,2001,http://slashdot.org:80/~1337d00d/
18buddhas,2000-2004,2001,http://slashdot.org:80/~18buddhas/
1alpha7,2000-2004,2001,http://slashdot.org:80/~1alpha7/
1shooter,2000-2004,2001,http://slashdot.org:80/~1shooter/
1skywalker1,2000-2004,2001,http://slashdot.org:80/~1skywalker1/
1stflight,2000-2004,2002,http://slashdot.org:80/~1stflight/
21mhz,2000-2004,2001,http://slashdot.org:80/~21mhz/
21stCenturyMan,2000-2004,2002,http://slashdot.org:80/~21stCenturyMan/
23_Elders,2000-2004,2001,http://slashdot.org:80/~23_Elders/
2Bits,2000-2004,2001,http://slashdot.org:80/~2Bits/
2dor!2d,2000-2004,2001,http://slashdot.org:80/~2dor!2d/
2Flower,2000-2004,2001,http://slashdot.org:80/~2Flower/
2g3-598hX,2000-2004,2002,http://slashdot.org:80/~2g3-598hX/
2moon2,2000-2004,2002,http://slashdot.org:80/~2moon2/
2ms,2000-2004,2001,http://slashdot.org:80/~2ms/
2MuchC0ffeeMan,2000-2004,2001,http://slashdot.org:80/~2MuchC0ffeeMan/
2n2,2000-2004,2002,http://slashdot.org:80/~2n2/
2nd+Post!,2000-2004,2001,http://slashdot.org:80/~2nd+Post!/
2PAIRofACES,2000-2004,2001,http://slashdot.org:80/~2PAIRofACES/
2quam4,2000-2004,2001,http://slashdot.org:80/~2quam4/
2ri,2000-2004,2001,http://slashdot.org:80/~2ri/
2RockStars,2000-2004,2001,http://slashdot.org:80/~2RockStars/
30F06950,2000-2004,2001,http://slashdot.org:80/~30F06950/
31eq,2000-2004,2001,http://slashdot.org:80/~31eq/
33C,2000-2004,2001,http://slashdot.org:80/~33C/
36-bitter,2000-2004,2001,http://slashdot.org:80/~36-bitter/
3Bees,2000-2004,2002,http://slashdot.org:80/~3Bees/
3Cats,2000-2004,2001,http://slashdot.org:80/~3Cats/
3D0G,2000-2004,2001,http://slashdot.org:80/~3D0G/
3J0hn,2000-2004,2001,http://slashdot.org:80/~3J0hn/
3jeff,2000-2004,2001,http://slashdot.org:80/~3jeff/
3r33t+h4x0r,2000-2004,2001,http://slashdot.org:80/~3r33t+h4x0r/
3ric,2000-2004,2001,http://slashdot.org:80/~3ric/
3rkanes,2000-2004,2003,http://slashdot.org:80/%7E3rkanes
3ryon,2000-2004,2001,http://slashdot.org:80/~3ryon/
3seas,2000-2004,2001,http://slashdot.org:80/~3seas/
3waygeek,2000-2004,2001,http://slashdot.org:80/~3waygeek/
3x3eyes,2000-2004,2001,http://slashdot.org:80/~3x3eyes/
40+Watt,2000-2004,2001,http://slashdot.org:80/~40+Watt/
420Geek,2000-2004,2001,http://slashdot.org:80/~420Geek/
4cTuck,2000-2004,2001,http://slashdot.org:80/~4cTuck/
4ginandtonics,2000-2004,2001,http://slashdot.org:80/~4ginandtonics/
4iedBandit,2000-2004,2001,http://slashdot.org:80/~4iedBandit/
4im,2000-2004,2001,http://slashdot.org:80/~4im/
4me2no,2000-2004,2001,http://slashdot.org:80/~4me2no/
4mn0t1337,2000-2004,2001,http://slashdot.org:80/~4mn0t1337/
4of12,2000-2004,2001,http://slashdot.org:80/~4of12/
4Runner,2000-2004,2002,http://slashdot.org:80/~4Runner/
4thAce,2000-2004,2001,http://slashdot.org:80/~4thAce/
512k,2000-2004,2001,http://slashdot.org:80/~512k/
56ksucks,2000-2004,2001,http://slashdot.org:80/~56ksucks/
5foot2,2000-2004,2001,http://slashdot.org:80/~5foot2/
5KVGhost,2000-2004,2001,http://slashdot.org:80/~5KVGhost/
5lash,2000-2004,2002,http://slashdot.org:80/~5lash/
5n3ak3rp1mp,2000-2004,2001,http://slashdot.org:80/~5n3ak3rp1mp/
5v9,2000-2004,2001,http://slashdot.org:80/~5v9/
6EQUJ5,2000-2004,2001,http://slashdot.org:80/~6EQUJ5/
7-Vodka,2000-2004,2001,http://slashdot.org:80/~7-Vodka/
72beetle,2000-2004,2001,http://slashdot.org:80/~72beetle/
78spb89,2000-2004,2001,http://slashdot.org:80/~78spb89/
8.012,2000-2004,2001,http://slashdot.org:80/~8.012/
87C751,2000-2004,2001,http://slashdot.org:80/~87C751/
8bahl,2000-2004,2002,http://slashdot.org:80/~8bahl/
8bit,2000-2004,2001,http://slashdot.org:80/~8bit/
8Complex,2000-2004,2001,http://slashdot.org:80/~8Complex/
91degrees,2000-2004,2001,http://slashdot.org:80/~91degrees/
97jaz,2000-2004,2001,http://slashdot.org:80/~97jaz/
9th,2000-2004,2001,http://slashdot.org:80/~9th/
@madeus,2000-2004,2004,http://slashdot.org:80/%7E%40madeus/
_14k4,2000-2004,2001,http://slashdot.org:80/~_14k4/
__Paul__,2000-2004,2002,http://slashdot.org:80/~__Paul__/
__roo,2000-2004,2001,http://slashdot.org:80/~__roo/
__shad__,2000-2004,2001,http://slashdot.org:80/~__shad__/
__soup_dragon__,2000-2004,2001,http://slashdot.org:80/~__soup_dragon__/
_aargh,2000-2004,2001,http://slashdot.org:80/~_aargh/
_alpha_,2000-2004,2001,http://slashdot.org:80/~_alpha_/
_anomaly_,2000-2004,2001,http://slashdot.org:80/~_anomaly_/
