username,period,source_year,source_url
acs,2000-2004,2002,SourceForge
abhishekarun,2000-2004,2002,SourceForge
afoxson,2000-2004,2000,SourceForge
2Flower,2000-2004,2004,Slashdot
aminorex,2000-2004,2000,Slashdot
ajenny,2000-2004,2002,SourceForge
[daz],2000-2004,2002,Slashdot
#!,2000-2004,2003,Slashdot
acejones,2000-2004,2003,SourceForge
agslinda,2000-2004,2004,SourceForge
aip,2000-2004,2003,SourceForge
ahn,2000-2004,2003,SourceForge
alphaque,2000-2004,2003,Slashdot
acarroll,2000-2004,2002,SourceForge
aiv,2000-2004,2002,SourceForge
adrianu,2000-2004,2002,SourceForge
acouchot,2000-2004,2001,SourceForge
AlanSmitheeX,2000-2004,2000,Slashdot
ahlstromjc,2000-2004,2000,SourceForge
_Spirit,2000-2004,2004,Slashdot
ainmarh,2000-2004,2004,SourceForge
acacio,2000-2004,2003,SourceForge
aixcept,2000-2004,2004,SourceForge
aesuan,2000-2004,2003,SourceForge
ajlill,2000-2004,2004,SourceForge
amward,2000-2004,2004,Slashdot
alt3r3go,2000-2004,2001,Slashdot
acm,2000-2004,2001,Slashdot
acquiesce,2000-2004,2002,SourceForge
agrundma,2000-2004,2004,SourceForge
adamtpaw,2000-2004,2003,SourceForge
agtofchaos,2000-2004,2004,Slashdot
a2800276,2000-2004,2001,Slashdot
(H)elix1,2000-2004,2000,Slashdot
a12,2000-2004,2001,SourceForge
adkeller,2000-2004,2000,SourceForge
a-konovalenko,2000-2004,2004,SourceForge
afx,2000-2004,2002,Slashdot
a0174052,2000-2004,2000,SourceForge
ABIGGUY,2000-2004,2002,Slashdot
ahermans,2000-2004,2001,SourceForge
ahatzis,2000-2004,2002,SourceForge
abaguidev1,2000-2004,2001,SourceForge
acni,2000-2004,2003,SourceForge
10Ghz,2000-2004,2002,Slashdot
ackerman,2000-2004,2000,SourceForge
Acidr00t,2000-2004,2002,Slashdot
acero,2000-2004,2004,SourceForge
aclysma,2000-2004,2000,SourceForge
aduggan,2000-2004,2001,SourceForge
abject1,2000-2004,2000,SourceForge
ac-1000,2000-2004,2002,SourceForge
mahlzeit,2000-2004,2003,SourceForge
almeida,2000-2004,2004,Slashdot
ahodgson,2000-2004,2003,Slashdot
aegis8,2000-2004,2003,Slashdot
adejneka,2000-2004,2003,SourceForge
ahbanks,2000-2004,2002,SourceForge
abmann,2000-2004,2003,SourceForge
abrito,2000-2004,2000,SourceForge
18buddhas,2000-2004,2003,Slashdot
adamdunkels,2000-2004,2003,SourceForge
acme,2000-2004,2004,SourceForge
afinlay,2000-2004,2001,Slashdot
abdel,2000-2004,2002,Slashdot
aminal,2000-2004,2001,Slashdot
abakker,2000-2004,2002,SourceForge
aelman,2000-2004,2002,SourceForge
afayolle,2000-2004,2000,SourceForge
Aigeanta,2000-2004,2002,Slashdot
acki,2000-2004,2002,SourceForge
afreyt,2000-2004,2003,Slashdot
ackbar,2000-2004,2003,SourceForge
a_kovalenko,2000-2004,2003,SourceForge
alecbrown,2000-2004,2003,Slashdot
adonoman,2000-2004,2004,Slashdot
achacha,2000-2004,2003,SourceForge
adamzey,2000-2004,2000,SourceForge
