username,period,source_year,source_url
ivan_95,2000-2004,2000,synthetic
h4ck3r1981,2000-2004,2000,synthetic
pavel_12,2000-2004,2000,synthetic
coolkiller,2000-2004,2000,synthetic
artem534,2000-2004,2000,synthetic
epicwizard,2000-2004,2000,synthetic
r4v3n1980,2000-2004,2000,synthetic
night,2000-2004,2000,synthetic
hun73r1985,2000-2004,2000,synthetic
marina1988,2000-2004,2000,synthetic
r4ng3r,2000-2004,2000,synthetic
pavel_16,2000-2004,2000,synthetic
bear1984,2000-2004,2000,synthetic
hawk,2000-2004,2000,synthetic
w1z4rd,2000-2004,2000,synthetic
artem,2000-2004,2000,synthetic
star,2000-2004,2000,synthetic
5n4k36077,2000-2004,2000,synthetic
anna1979,2000-2004,2000,synthetic
alex_78,2000-2004,2000,synthetic
pavel_94,2000-2004,2000,synthetic
5n4k3948,2000-2004,2000,synthetic
pavel_29,2000-2004,2000,synthetic
ivan_30,2000-2004,2000,synthetic
wolf68,2000-2004,2000,synthetic
r4v3n,2000-2004,2000,synthetic
71g3r937,2000-2004,2000,synthetic
dima_34,2000-2004,2000,synthetic
sasha9677,2000-2004,2000,synthetic
prowizard,2000-2004,2000,synthetic
hun73r1589,2000-2004,2000,synthetic
shadow1982,2000-2004,2000,synthetic
eagle6404,2000-2004,2000,synthetic
5n4k39164,2000-2004,2000,synthetic
storm,2000-2004,2000,synthetic
sasha,2000-2004,2000,synthetic
wolf1986,2000-2004,2000,synthetic
ivan,2000-2004,2000,synthetic
sun,2000-2004,2000,synthetic
lion,2000-2004,2000,synthetic
forest,2000-2004,2000,synthetic
ultralord,2000-2004,2000,synthetic
w4rr10r8789,2000-2004,2000,synthetic
hawk20,2000-2004,2000,synthetic
anna,2000-2004,2000,synthetic
forest1983,2000-2004,2000,synthetic
ice1987,2000-2004,2000,synthetic
dragon,2000-2004,2000,synthetic
lena,2000-2004,2000,synthetic
ira,2000-2004,2000,synthetic
ultraranger,2000-2004,2000,synthetic
moon,2000-2004,2000,synthetic
f0x530,2000-2004,2000,synthetic
ultraking,2000-2004,2000,synthetic
ivan3870,2000-2004,2000,synthetic
coolmaster,2000-2004,2000,synthetic
alex,2000-2004,2000,synthetic
artem1982,2000-2004,2000,synthetic
hun73r,2000-2004,2000,synthetic
raven804,2000-2004,2000,synthetic
wildking,2000-2004,2000,synthetic
natasha421,2000-2004,2000,synthetic
olga,2000-2004,2000,synthetic
maxim1982,2000-2004,2000,synthetic
nikita1978,2000-2004,2000,synthetic
ice883,2000-2004,2000,synthetic
shadow1988,2000-2004,2000,synthetic
ice,2000-2004,2000,synthetic
night493,2000-2004,2000,synthetic
b34r,2000-2004,2000,synthetic
5n4k31988,2000-2004,2000,synthetic
artem_20,2000-2004,2000,synthetic
maxim,2000-2004,2000,synthetic
epickiller,2000-2004,2000,synthetic
ivan_7,2000-2004,2000,synthetic
epicranger,2000-2004,2000,synthetic
ira1977,2000-2004,2000,synthetic
dima,2000-2004,2000,synthetic
k1ng,2000-2004,2000,synthetic
prosniper,2000-2004,2000,synthetic
dima598,2000-2004,2000,synthetic
crazyhunter,2000-2004,2000,synthetic
w0lf1986,2000-2004,2000,synthetic
denis952,2000-2004,2000,synthetic
ice1981,2000-2004,2000,synthetic
maxim2270,2000-2004,2000,synthetic
w4rr10r557,2000-2004,2000,synthetic
denis_84,2000-2004,2000,synthetic
epichunter,2000-2004,2000,synthetic
shadow,2000-2004,2000,synthetic
sergey,2000-2004,2000,synthetic
dima_35,2000-2004,2000,synthetic
r4ng3r4214,2000-2004,2000,synthetic
fire1986,2000-2004,2000,synthetic
fire1982,2000-2004,2000,synthetic
andrey_21,2000-2004,2000,synthetic
pavel_91,2000-2004,2000,synthetic
andrey6149,2000-2004,2000,synthetic
megawizard,2000-2004,2000,synthetic
denis956,2000-2004,2000,synthetic
fire,2000-2004,2000,synthetic
h4ck3r,2000-2004,2000,synthetic
dr4g0n,2000-2004,2000,synthetic
prolord,2000-2004,2000,synthetic
ultrahunter,2000-2004,2000,synthetic
sergey40,2000-2004,2000,synthetic
star1987,2000-2004,2000,synthetic
h4ck3r1983,2000-2004,2000,synthetic
sun522,2000-2004,2000,synthetic
dr4g0n29,2000-2004,2000,synthetic
